Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptoms
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, abdominal_pain,"['itching', 'vomiting', 'yellowish_skin', 'nausea', 'loss_of_appetite', 'abdominal_pain', 'abdominal_pain']"
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,"['itching', 'vomiting', 'yellowish_skin', 'nausea', 'loss_of_appetite', 'abdominal_pain', 'yellowing_of_eyes']"
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,"['itching', 'vomiting', 'yellowish_skin', 'nausea', 'loss_of_appetite', 'abdominal_pain', 'yellowing_of_eyes']"
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination, nausea, abdominal_pain,"['itching', 'skin_rash', 'stomach_pain', 'burning_micturition', 'spotting_ urination', 'nausea', 'abdominal_pain']"
Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination, headache, nausea, abdominal_pain,"['itching', 'stomach_pain', 'burning_micturition', 'spotting_ urination', 'headache', 'nausea', 'abdominal_pain']"
Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination, headache, nausea, abdominal_pain,"['itching', 'skin_rash', 'burning_micturition', 'spotting_ urination', 'headache', 'nausea', 'abdominal_pain']"
Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination, headache, nausea, abdominal_pain,"['itching', 'skin_rash', 'stomach_pain', 'spotting_ urination', 'headache', 'nausea', 'abdominal_pain']"
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition, headache, nausea, abdominal_pain,"['itching', 'skin_rash', 'stomach_pain', 'burning_micturition', 'headache', 'nausea', 'abdominal_pain']"
Drug Reaction, skin_rash, stomach_pain, burning_micturition, spotting_ urination, headache, nausea, abdominal_pain,"['skin_rash', 'stomach_pain', 'burning_micturition', 'spotting_ urination', 'headache', 'nausea', 'abdominal_pain']"
Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination, headache, nausea, abdominal_pain,"['itching', 'stomach_pain', 'burning_micturition', 'spotting_ urination', 'headache', 'nausea', 'abdominal_pain']"
Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination, headache, nausea, abdominal_pain,"['itching', 'skin_rash', 'burning_micturition', 'spotting_ urination', 'headache', 'nausea', 'abdominal_pain']"
Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination, headache, nausea, abdominal_pain,"['itching', 'skin_rash', 'stomach_pain', 'spotting_ urination', 'headache', 'nausea', 'abdominal_pain']"
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition, headache, nausea, abdominal_pain,"['itching', 'skin_rash', 'stomach_pain', 'burning_micturition', 'headache', 'nausea', 'abdominal_pain']"
Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching, nausea, abdominal_pain,"['vomiting', 'loss_of_appetite', 'abdominal_pain', 'passage_of_gases', 'internal_itching', 'nausea', 'abdominal_pain']"
Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching, nausea, abdominal_pain,"['vomiting', 'indigestion', 'abdominal_pain', 'passage_of_gases', 'internal_itching', 'nausea', 'abdominal_pain']"
Peptic ulcer diseae, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching, nausea, abdominal_pain,"['indigestion', 'loss_of_appetite', 'abdominal_pain', 'passage_of_gases', 'internal_itching', 'nausea', 'abdominal_pain']"
Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching, nausea, abdominal_pain,"['vomiting', 'loss_of_appetite', 'abdominal_pain', 'passage_of_gases', 'internal_itching', 'nausea', 'abdominal_pain']"
Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching, nausea, abdominal_pain,"['vomiting', 'indigestion', 'abdominal_pain', 'passage_of_gases', 'internal_itching', 'nausea', 'abdominal_pain']"
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, passage_of_gases, internal_itching, nausea, abdominal_pain,"['vomiting', 'indigestion', 'loss_of_appetite', 'passage_of_gases', 'internal_itching', 'nausea', 'abdominal_pain']"
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, internal_itching, nausea, abdominal_pain,"['vomiting', 'indigestion', 'loss_of_appetite', 'abdominal_pain', 'internal_itching', 'nausea', 'abdominal_pain']"
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, nausea, abdominal_pain,"['vomiting', 'indigestion', 'loss_of_appetite', 'abdominal_pain', 'passage_of_gases', 'nausea', 'abdominal_pain']"
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching, abdominal_pain,"['vomiting', 'indigestion', 'loss_of_appetite', 'abdominal_pain', 'passage_of_gases', 'internal_itching', 'abdominal_pain']"
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching, abdominal_pain,"['vomiting', 'indigestion', 'loss_of_appetite', 'abdominal_pain', 'passage_of_gases', 'internal_itching', 'abdominal_pain']"
AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts, headache, nausea, abdominal_pain,"['muscle_wasting', 'patches_in_throat', 'high_fever', 'extra_marital_contacts', 'headache', 'nausea', 'abdominal_pain']"
AIDS, patches_in_throat, high_fever, extra_marital_contacts, high_fever, headache, nausea, abdominal_pain,"['patches_in_throat', 'high_fever', 'extra_marital_contacts', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
AIDS, muscle_wasting, high_fever, extra_marital_contacts, high_fever, headache, nausea, abdominal_pain,"['muscle_wasting', 'high_fever', 'extra_marital_contacts', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
AIDS, muscle_wasting, patches_in_throat, extra_marital_contacts, high_fever, headache, nausea, abdominal_pain,"['muscle_wasting', 'patches_in_throat', 'extra_marital_contacts', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
AIDS, muscle_wasting, patches_in_throat, high_fever, high_fever, headache, nausea, abdominal_pain,"['muscle_wasting', 'patches_in_throat', 'high_fever', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts, headache, nausea, abdominal_pain,"['muscle_wasting', 'patches_in_throat', 'high_fever', 'extra_marital_contacts', 'headache', 'nausea', 'abdominal_pain']"
AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts, headache, nausea, abdominal_pain,"['muscle_wasting', 'patches_in_throat', 'high_fever', 'extra_marital_contacts', 'headache', 'nausea', 'abdominal_pain']"
AIDS, patches_in_throat, high_fever, extra_marital_contacts, high_fever, headache, nausea, abdominal_pain,"['patches_in_throat', 'high_fever', 'extra_marital_contacts', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
AIDS, muscle_wasting, high_fever, extra_marital_contacts, high_fever, headache, nausea, abdominal_pain,"['muscle_wasting', 'high_fever', 'extra_marital_contacts', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
AIDS, muscle_wasting, patches_in_throat, high_fever, high_fever, headache, nausea, abdominal_pain,"['muscle_wasting', 'patches_in_throat', 'high_fever', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity,"['fatigue', 'weight_loss', 'restlessness', 'lethargy', 'irregular_sugar_level', 'blurred_and_distorted_vision', 'obesity']"
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity,"['fatigue', 'weight_loss', 'restlessness', 'lethargy', 'irregular_sugar_level', 'blurred_and_distorted_vision', 'obesity']"
Diabetes , weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger,"['weight_loss', 'restlessness', 'lethargy', 'irregular_sugar_level', 'blurred_and_distorted_vision', 'obesity', 'excessive_hunger']"
Diabetes , fatigue, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger,"['fatigue', 'restlessness', 'lethargy', 'irregular_sugar_level', 'blurred_and_distorted_vision', 'obesity', 'excessive_hunger']"
Diabetes , fatigue, weight_loss, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger,"['fatigue', 'weight_loss', 'lethargy', 'irregular_sugar_level', 'blurred_and_distorted_vision', 'obesity', 'excessive_hunger']"
Diabetes , fatigue, weight_loss, restlessness, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger,"['fatigue', 'weight_loss', 'restlessness', 'irregular_sugar_level', 'blurred_and_distorted_vision', 'obesity', 'excessive_hunger']"
Diabetes , fatigue, weight_loss, restlessness, lethargy, blurred_and_distorted_vision, obesity, excessive_hunger,"['fatigue', 'weight_loss', 'restlessness', 'lethargy', 'blurred_and_distorted_vision', 'obesity', 'excessive_hunger']"
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, obesity, excessive_hunger,"['fatigue', 'weight_loss', 'restlessness', 'lethargy', 'irregular_sugar_level', 'obesity', 'excessive_hunger']"
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, excessive_hunger,"['fatigue', 'weight_loss', 'restlessness', 'lethargy', 'irregular_sugar_level', 'blurred_and_distorted_vision', 'excessive_hunger']"
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity,"['fatigue', 'weight_loss', 'restlessness', 'lethargy', 'irregular_sugar_level', 'blurred_and_distorted_vision', 'obesity']"
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea, headache, nausea, abdominal_pain,"['vomiting', 'sunken_eyes', 'dehydration', 'diarrhoea', 'headache', 'nausea', 'abdominal_pain']"
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea, headache, nausea, abdominal_pain,"['vomiting', 'sunken_eyes', 'dehydration', 'diarrhoea', 'headache', 'nausea', 'abdominal_pain']"
Gastroenteritis, sunken_eyes, dehydration, diarrhoea, high_fever, headache, nausea, abdominal_pain,"['sunken_eyes', 'dehydration', 'diarrhoea', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
Gastroenteritis, vomiting, dehydration, diarrhoea, high_fever, headache, nausea, abdominal_pain,"['vomiting', 'dehydration', 'diarrhoea', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
Gastroenteritis, vomiting, sunken_eyes, diarrhoea, high_fever, headache, nausea, abdominal_pain,"['vomiting', 'sunken_eyes', 'diarrhoea', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
Gastroenteritis, vomiting, sunken_eyes, dehydration, high_fever, headache, nausea, abdominal_pain,"['vomiting', 'sunken_eyes', 'dehydration', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea, headache, nausea, abdominal_pain,"['vomiting', 'sunken_eyes', 'dehydration', 'diarrhoea', 'headache', 'nausea', 'abdominal_pain']"
Gastroenteritis, sunken_eyes, dehydration, diarrhoea, high_fever, headache, nausea, abdominal_pain,"['sunken_eyes', 'dehydration', 'diarrhoea', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
Gastroenteritis, vomiting, dehydration, diarrhoea, high_fever, headache, nausea, abdominal_pain,"['vomiting', 'dehydration', 'diarrhoea', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
Gastroenteritis, vomiting, sunken_eyes, diarrhoea, high_fever, headache, nausea, abdominal_pain,"['vomiting', 'sunken_eyes', 'diarrhoea', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum, abdominal_pain,"['fatigue', 'cough', 'high_fever', 'breathlessness', 'family_history', 'mucoid_sputum', 'abdominal_pain']"
Bronchial Asthma, cough, high_fever, breathlessness, family_history, mucoid_sputum, nausea, abdominal_pain,"['cough', 'high_fever', 'breathlessness', 'family_history', 'mucoid_sputum', 'nausea', 'abdominal_pain']"
Bronchial Asthma, fatigue, high_fever, breathlessness, family_history, mucoid_sputum, nausea, abdominal_pain,"['fatigue', 'high_fever', 'breathlessness', 'family_history', 'mucoid_sputum', 'nausea', 'abdominal_pain']"
Bronchial Asthma, fatigue, cough, breathlessness, family_history, mucoid_sputum, nausea, abdominal_pain,"['fatigue', 'cough', 'breathlessness', 'family_history', 'mucoid_sputum', 'nausea', 'abdominal_pain']"
Bronchial Asthma, fatigue, cough, high_fever, family_history, mucoid_sputum, nausea, abdominal_pain,"['fatigue', 'cough', 'high_fever', 'family_history', 'mucoid_sputum', 'nausea', 'abdominal_pain']"
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, mucoid_sputum, nausea, abdominal_pain,"['fatigue', 'cough', 'high_fever', 'breathlessness', 'mucoid_sputum', 'nausea', 'abdominal_pain']"
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history, nausea, abdominal_pain,"['fatigue', 'cough', 'high_fever', 'breathlessness', 'family_history', 'nausea', 'abdominal_pain']"
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum, abdominal_pain,"['fatigue', 'cough', 'high_fever', 'breathlessness', 'family_history', 'mucoid_sputum', 'abdominal_pain']"
Bronchial Asthma, cough, high_fever, breathlessness, family_history, mucoid_sputum, nausea, abdominal_pain,"['cough', 'high_fever', 'breathlessness', 'family_history', 'mucoid_sputum', 'nausea', 'abdominal_pain']"
Bronchial Asthma, fatigue, high_fever, breathlessness, family_history, mucoid_sputum, nausea, abdominal_pain,"['fatigue', 'high_fever', 'breathlessness', 'family_history', 'mucoid_sputum', 'nausea', 'abdominal_pain']"
Hypertension , headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration, nausea, abdominal_pain,"['headache', 'chest_pain', 'dizziness', 'loss_of_balance', 'lack_of_concentration', 'nausea', 'abdominal_pain']"
Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration, headache, nausea, abdominal_pain,"['chest_pain', 'dizziness', 'loss_of_balance', 'lack_of_concentration', 'headache', 'nausea', 'abdominal_pain']"
Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration, headache, nausea, abdominal_pain,"['headache', 'dizziness', 'loss_of_balance', 'lack_of_concentration', 'headache', 'nausea', 'abdominal_pain']"
Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration, headache, nausea, abdominal_pain,"['headache', 'chest_pain', 'loss_of_balance', 'lack_of_concentration', 'headache', 'nausea', 'abdominal_pain']"
Hypertension , headache, chest_pain, dizziness, lack_of_concentration, headache, nausea, abdominal_pain,"['headache', 'chest_pain', 'dizziness', 'lack_of_concentration', 'headache', 'nausea', 'abdominal_pain']"
Hypertension , headache, chest_pain, dizziness, loss_of_balance, headache, nausea, abdominal_pain,"['headache', 'chest_pain', 'dizziness', 'loss_of_balance', 'headache', 'nausea', 'abdominal_pain']"
Hypertension , headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration, nausea, abdominal_pain,"['headache', 'chest_pain', 'dizziness', 'loss_of_balance', 'lack_of_concentration', 'nausea', 'abdominal_pain']"
Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration, headache, nausea, abdominal_pain,"['chest_pain', 'dizziness', 'loss_of_balance', 'lack_of_concentration', 'headache', 'nausea', 'abdominal_pain']"
Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration, headache, nausea, abdominal_pain,"['headache', 'dizziness', 'loss_of_balance', 'lack_of_concentration', 'headache', 'nausea', 'abdominal_pain']"
Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration, headache, nausea, abdominal_pain,"['headache', 'chest_pain', 'loss_of_balance', 'lack_of_concentration', 'headache', 'nausea', 'abdominal_pain']"
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression,"['acidity', 'indigestion', 'headache', 'blurred_and_distorted_vision', 'excessive_hunger', 'stiff_neck', 'depression']"
Migraine, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability,"['indigestion', 'headache', 'blurred_and_distorted_vision', 'excessive_hunger', 'stiff_neck', 'depression', 'irritability']"
Migraine, acidity, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability,"['acidity', 'headache', 'blurred_and_distorted_vision', 'excessive_hunger', 'stiff_neck', 'depression', 'irritability']"
Migraine, acidity, indigestion, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability,"['acidity', 'indigestion', 'blurred_and_distorted_vision', 'excessive_hunger', 'stiff_neck', 'depression', 'irritability']"
Migraine, acidity, indigestion, headache, excessive_hunger, stiff_neck, depression, irritability,"['acidity', 'indigestion', 'headache', 'excessive_hunger', 'stiff_neck', 'depression', 'irritability']"
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, stiff_neck, depression, irritability,"['acidity', 'indigestion', 'headache', 'blurred_and_distorted_vision', 'stiff_neck', 'depression', 'irritability']"
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, depression, irritability,"['acidity', 'indigestion', 'headache', 'blurred_and_distorted_vision', 'excessive_hunger', 'depression', 'irritability']"
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, irritability,"['acidity', 'indigestion', 'headache', 'blurred_and_distorted_vision', 'excessive_hunger', 'stiff_neck', 'irritability']"
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression,"['acidity', 'indigestion', 'headache', 'blurred_and_distorted_vision', 'excessive_hunger', 'stiff_neck', 'depression']"
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression,"['acidity', 'indigestion', 'headache', 'blurred_and_distorted_vision', 'excessive_hunger', 'stiff_neck', 'depression']"
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance, nausea, abdominal_pain,"['back_pain', 'weakness_in_limbs', 'neck_pain', 'dizziness', 'loss_of_balance', 'nausea', 'abdominal_pain']"
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance, nausea, abdominal_pain,"['back_pain', 'weakness_in_limbs', 'neck_pain', 'dizziness', 'loss_of_balance', 'nausea', 'abdominal_pain']"
Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance, headache, nausea, abdominal_pain,"['weakness_in_limbs', 'neck_pain', 'dizziness', 'loss_of_balance', 'headache', 'nausea', 'abdominal_pain']"
Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance, headache, nausea, abdominal_pain,"['back_pain', 'neck_pain', 'dizziness', 'loss_of_balance', 'headache', 'nausea', 'abdominal_pain']"
Cervical spondylosis, back_pain, weakness_in_limbs, dizziness, loss_of_balance, headache, nausea, abdominal_pain,"['back_pain', 'weakness_in_limbs', 'dizziness', 'loss_of_balance', 'headache', 'nausea', 'abdominal_pain']"
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, loss_of_balance, headache, nausea, abdominal_pain,"['back_pain', 'weakness_in_limbs', 'neck_pain', 'loss_of_balance', 'headache', 'nausea', 'abdominal_pain']"
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, headache, nausea, abdominal_pain,"['back_pain', 'weakness_in_limbs', 'neck_pain', 'dizziness', 'headache', 'nausea', 'abdominal_pain']"
